ensg	biotype
ENSG00000269978.1	lncRNA
ENSG00000269925.1	lncRNA
ENSG00000236266.1	lncRNA
ENSG00000284747.1	lncRNA
ENSG00000284716.1	lncRNA
ENSG00000238290.1	lncRNA
ENSG00000288816.1	lncRNA
ENSG00000227634.3	lncRNA
ENSG00000233645.1	lncRNA
ENSG00000232912.6	lncRNA
ENSG00000228423.2	lncRNA
ENSG00000230679.1	lncRNA
ENSG00000228526.7	lncRNA
ENSG00000234546.5	lncRNA
ENSG00000284652.1	lncRNA
ENSG00000284693.2	lncRNA
ENSG00000235263.1	lncRNA
ENSG00000179840.5	lncRNA
ENSG00000231789.3	lncRNA
ENSG00000223989.1	lncRNA
ENSG00000285701.1	lncRNA
ENSG00000228150.1	lncRNA
ENSG00000241326.1	lncRNA
ENSG00000284735.1	lncRNA
ENSG00000284642.1	lncRNA
ENSG00000271989.1	lncRNA
ENSG00000203469.2	lncRNA
ENSG00000287727.1	lncRNA
ENSG00000272078.1	lncRNA
ENSG00000226849.1	lncRNA
ENSG00000230337.2	lncRNA
ENSG00000225602.5	lncRNA
ENSG00000284646.1	lncRNA
ENSG00000285833.1	lncRNA
ENSG00000235643.2	lncRNA
ENSG00000284708.1	lncRNA
ENSG00000177553.6	lncRNA
ENSG00000285646.2	lncRNA
ENSG00000287384.1	lncRNA
ENSG00000285604.1	lncRNA
ENSG00000229484.2	lncRNA
ENSG00000288927.1	lncRNA
ENSG00000272482.1	lncRNA
ENSG00000228338.1	lncRNA
ENSG00000233336.1	lncRNA
ENSG00000228229.2	lncRNA
ENSG00000259961.1	lncRNA
ENSG00000237445.2	lncRNA
ENSG00000289380.1	lncRNA
ENSG00000231606.2	lncRNA
ENSG00000234593.3	lncRNA
ENSG00000287756.1	lncRNA
ENSG00000175147.13	lncRNA
ENSG00000204464.7	lncRNA
ENSG00000233485.1	lncRNA
ENSG00000236045.1	lncRNA
ENSG00000228140.2	lncRNA
ENSG00000272510.1	lncRNA
ENSG00000237301.1	lncRNA
ENSG00000271742.1	lncRNA
ENSG00000237938.5	lncRNA
ENSG00000224459.2	lncRNA
ENSG00000179743.4	lncRNA
ENSG00000233078.1	lncRNA
ENSG00000227959.2	lncRNA
ENSG00000224621.1	lncRNA
ENSG00000234166.1	lncRNA
ENSG00000288398.1	lncRNA
ENSG00000226029.1	lncRNA
ENSG00000261135.1	lncRNA
ENSG00000285853.1	lncRNA
ENSG00000224174.2	lncRNA
ENSG00000233421.5	lncRNA
ENSG00000271732.1	lncRNA
ENSG00000282143.1	lncRNA
ENSG00000279151.1	lncRNA
ENSG00000282740.1	lncRNA
ENSG00000223643.6	lncRNA
ENSG00000228549.5	lncRNA
ENSG00000238142.3	lncRNA
ENSG00000272426.1	lncRNA
ENSG00000286898.1	lncRNA
ENSG00000226526.1	lncRNA
ENSG00000204362.6	lncRNA
ENSG00000282843.1	lncRNA
ENSG00000227751.1	lncRNA
ENSG00000236648.2	lncRNA
ENSG00000284653.1	lncRNA
ENSG00000261781.1	lncRNA
ENSG00000230035.2	lncRNA
ENSG00000225387.1	lncRNA
ENSG00000272084.1	lncRNA
ENSG00000230424.2	lncRNA
ENSG00000235185.1	lncRNA
ENSG00000235434.1	lncRNA
ENSG00000227066.2	lncRNA
ENSG00000228105.2	lncRNA
ENSG00000284710.1	lncRNA
ENSG00000226664.1	lncRNA
ENSG00000236963.8	lncRNA
ENSG00000226487.1	lncRNA
ENSG00000284641.1	lncRNA
ENSG00000284743.1	lncRNA
ENSG00000289402.1	lncRNA
ENSG00000117242.7	lncRNA
ENSG00000233069.1	lncRNA
ENSG00000287192.1	lncRNA
ENSG00000236936.1	lncRNA
ENSG00000231105.2	lncRNA
ENSG00000236009.1	lncRNA
ENSG00000233431.1	lncRNA
ENSG00000285959.1	lncRNA
ENSG00000228397.3	lncRNA
ENSG00000218510.9	lncRNA
ENSG00000285752.1	lncRNA
ENSG00000230068.2	lncRNA
ENSG00000285873.1	lncRNA
ENSG00000237200.1	lncRNA
ENSG00000225952.1	lncRNA
ENSG00000240553.1	lncRNA
ENSG00000289014.1	lncRNA
ENSG00000261326.4	lncRNA
ENSG00000284726.1	lncRNA
ENSG00000249087.8	lncRNA
ENSG00000271420.1	lncRNA
ENSG00000235052.1	lncRNA
ENSG00000285802.1	lncRNA
ENSG00000197880.10	lncRNA
ENSG00000236810.7	lncRNA
ENSG00000232557.3	lncRNA
ENSG00000225315.2	lncRNA
ENSG00000230703.1	lncRNA
ENSG00000230023.2	lncRNA
ENSG00000232298.2	lncRNA
ENSG00000288982.1	lncRNA
ENSG00000286061.1	lncRNA
ENSG00000264443.1	lncRNA
ENSG00000284699.1	lncRNA
ENSG00000229162.1	lncRNA
ENSG00000261025.1	lncRNA
ENSG00000285823.1	lncRNA
ENSG00000233755.1	lncRNA
ENSG00000231953.2	lncRNA
ENSG00000284602.1	lncRNA
ENSG00000284657.1	lncRNA
ENSG00000272432.1	lncRNA
ENSG00000225643.1	lncRNA
ENSG00000233478.1	lncRNA
ENSG00000228172.5	lncRNA
ENSG00000272478.1	lncRNA
ENSG00000236528.2	lncRNA
ENSG00000284309.1	lncRNA
ENSG00000225891.2	lncRNA
ENSG00000289452.1	lncRNA
ENSG00000260063.1	lncRNA
ENSG00000226698.1	lncRNA
ENSG00000289554.1	lncRNA
ENSG00000224311.1	lncRNA
ENSG00000241169.1	lncRNA
ENSG00000237429.1	lncRNA
ENSG00000233975.2	lncRNA
ENSG00000225886.3	lncRNA
ENSG00000287244.1	lncRNA
ENSG00000269971.1	lncRNA
ENSG00000270031.1	lncRNA
ENSG00000286433.1	lncRNA
ENSG00000227050.1	lncRNA
ENSG00000289576.1	lncRNA
ENSG00000270605.1	lncRNA
ENSG00000271398.1	lncRNA
ENSG00000229388.1	lncRNA
ENSG00000270103.3	lncRNA
ENSG00000289291.1	lncRNA
ENSG00000233427.1	lncRNA
ENSG00000225750.1	lncRNA
ENSG00000237934.1	lncRNA
ENSG00000230523.1	lncRNA
ENSG00000228176.1	lncRNA
ENSG00000284676.1	lncRNA
ENSG00000233399.2	lncRNA
ENSG00000233372.1	lncRNA
ENSG00000236335.1	lncRNA
ENSG00000231949.1	lncRNA
ENSG00000186056.10	lncRNA
ENSG00000287510.1	lncRNA
ENSG00000229607.1	lncRNA
ENSG00000223382.6	lncRNA
ENSG00000235143.1	lncRNA
ENSG00000229044.1	lncRNA
ENSG00000284543.1	lncRNA
ENSG00000229167.2	lncRNA
ENSG00000235790.7	lncRNA
ENSG00000264078.1	lncRNA
ENSG00000254545.1	lncRNA
ENSG00000203620.2	lncRNA
ENSG00000269967.1	lncRNA
ENSG00000228634.1	lncRNA
ENSG00000284702.1	lncRNA
ENSG00000203325.3	lncRNA
ENSG00000250135.1	lncRNA
ENSG00000224066.1	lncRNA
ENSG00000233775.1	lncRNA
ENSG00000224409.1	lncRNA
ENSG00000287691.1	lncRNA
ENSG00000236065.2	lncRNA
ENSG00000284721.1	lncRNA
ENSG00000270115.1	lncRNA
ENSG00000225313.5	lncRNA
ENSG00000233246.1	lncRNA
ENSG00000231163.6	lncRNA
ENSG00000287703.1	lncRNA
ENSG00000255811.1	lncRNA
ENSG00000230163.1	lncRNA
ENSG00000284640.1	lncRNA
ENSG00000227409.1	lncRNA
ENSG00000239636.2	lncRNA
ENSG00000232335.1	lncRNA
ENSG00000286899.1	lncRNA
ENSG00000271914.1	lncRNA
ENSG00000271554.1	lncRNA
ENSG00000286379.1	lncRNA
ENSG00000284705.1	lncRNA
ENSG00000284720.1	lncRNA
ENSG00000234481.2	lncRNA
ENSG00000284650.1	lncRNA
ENSG00000223944.2	lncRNA
ENSG00000233621.3	lncRNA
ENSG00000284748.1	lncRNA
ENSG00000233728.1	lncRNA
ENSG00000230955.1	lncRNA
ENSG00000224592.5	lncRNA
ENSG00000284623.1	lncRNA
ENSG00000286552.1	lncRNA
ENSG00000287987.1	lncRNA
ENSG00000237290.2	lncRNA
ENSG00000238063.3	lncRNA
ENSG00000284632.1	lncRNA
ENSG00000273637.1	lncRNA
ENSG00000228436.4	lncRNA
ENSG00000287422.1	lncRNA
ENSG00000226438.1	lncRNA
ENSG00000228060.3	lncRNA
ENSG00000225903.1	lncRNA
ENSG00000285905.1	lncRNA
ENSG00000261798.1	lncRNA
ENSG00000284719.2	lncRNA
ENSG00000284678.1	lncRNA
ENSG00000236546.1	lncRNA
ENSG00000259943.1	lncRNA
ENSG00000284677.1	lncRNA
ENSG00000260920.2	lncRNA
ENSG00000238287.1	lncRNA
ENSG00000227278.1	lncRNA
ENSG00000238186.1	lncRNA
ENSG00000286838.1	lncRNA
ENSG00000287743.1	lncRNA
ENSG00000237899.1	lncRNA
ENSG00000272145.1	lncRNA
ENSG00000229528.1	lncRNA
ENSG00000286668.1	lncRNA
ENSG00000281207.1	lncRNA
ENSG00000287400.1	lncRNA
ENSG00000235358.2	lncRNA
ENSG00000229901.1	lncRNA
ENSG00000230881.1	lncRNA
ENSG00000287587.1	lncRNA
ENSG00000227527.2	lncRNA
ENSG00000285728.2	lncRNA
ENSG00000234917.2	lncRNA
ENSG00000228452.1	lncRNA
ENSG00000228192.9	lncRNA
ENSG00000288955.1	lncRNA
ENSG00000283973.2	lncRNA
ENSG00000287113.1	lncRNA
ENSG00000234694.2	lncRNA
ENSG00000288772.1	lncRNA
ENSG00000229431.1	lncRNA
ENSG00000229372.1	lncRNA
ENSG00000229348.1	lncRNA
ENSG00000236200.7	lncRNA
ENSG00000229444.1	lncRNA
ENSG00000237950.3	lncRNA
ENSG00000288573.2	lncRNA
ENSG00000285649.1	lncRNA
ENSG00000230615.8	lncRNA
ENSG00000233602.1	lncRNA
ENSG00000225721.5	lncRNA
ENSG00000281912.1	lncRNA
ENSG00000289407.1	lncRNA
ENSG00000230896.1	lncRNA
ENSG00000226957.1	lncRNA
ENSG00000227857.2	lncRNA
ENSG00000269956.2	lncRNA
ENSG00000228237.5	lncRNA
ENSG00000225506.2	lncRNA
ENSG00000224805.2	lncRNA
ENSG00000226252.1	lncRNA
ENSG00000225762.1	lncRNA
ENSG00000237424.1	lncRNA
ENSG00000227947.2	lncRNA
ENSG00000223814.1	lncRNA
ENSG00000225028.1	lncRNA
ENSG00000226133.6	lncRNA
ENSG00000231413.1	lncRNA
ENSG00000223720.2	lncRNA
ENSG00000272491.1	lncRNA
ENSG00000287661.1	lncRNA
ENSG00000286597.1	lncRNA
ENSG00000229846.2	lncRNA
ENSG00000230114.1	lncRNA
ENSG00000225623.1	lncRNA
ENSG00000237337.1	lncRNA
ENSG00000233407.1	lncRNA
ENSG00000284696.2	lncRNA
ENSG00000284645.1	lncRNA
ENSG00000284700.2	lncRNA
ENSG00000225767.1	lncRNA
ENSG00000203356.2	lncRNA
ENSG00000236434.2	lncRNA
ENSG00000261664.5	lncRNA
ENSG00000238140.1	lncRNA
ENSG00000227070.1	lncRNA
ENSG00000266993.3	lncRNA
ENSG00000272175.1	lncRNA
ENSG00000223390.1	lncRNA
ENSG00000228369.2	lncRNA
ENSG00000272100.1	lncRNA
ENSG00000287078.1	lncRNA
ENSG00000272371.1	lncRNA
ENSG00000242391.2	lncRNA
ENSG00000232993.1	lncRNA
ENSG00000235563.1	lncRNA
ENSG00000236723.2	lncRNA
ENSG00000259818.1	lncRNA
ENSG00000226754.2	lncRNA
ENSG00000234578.1	lncRNA
ENSG00000228838.1	lncRNA
ENSG00000232762.1	lncRNA
ENSG00000225675.2	lncRNA
ENSG00000285954.1	lncRNA
ENSG00000226938.1	lncRNA
ENSG00000230138.2	lncRNA
ENSG00000280425.2	lncRNA
ENSG00000198711.5	lncRNA
ENSG00000225632.1	lncRNA
ENSG00000232245.1	lncRNA
ENSG00000287582.1	lncRNA
ENSG00000235741.1	lncRNA
ENSG00000230728.1	lncRNA
ENSG00000237453.1	lncRNA
ENSG00000287724.1	lncRNA
ENSG00000242396.2	lncRNA
ENSG00000233203.6	lncRNA
ENSG00000284601.1	lncRNA
ENSG00000233271.1	lncRNA
ENSG00000231090.2	lncRNA
ENSG00000234810.4	lncRNA
ENSG00000233079.3	lncRNA
ENSG00000230250.3	lncRNA
ENSG00000235612.1	lncRNA
ENSG00000260971.4	lncRNA
ENSG00000223956.4	lncRNA
ENSG00000229913.1	lncRNA
ENSG00000236341.1	lncRNA
ENSG00000227935.1	lncRNA
ENSG00000226759.8	lncRNA
ENSG00000235038.1	lncRNA
ENSG00000286918.1	lncRNA
ENSG00000283445.1	lncRNA
ENSG00000234807.8	lncRNA
ENSG00000272226.1	lncRNA
ENSG00000231740.1	lncRNA
ENSG00000232453.7	lncRNA
ENSG00000237352.5	lncRNA
ENSG00000241042.1	lncRNA
ENSG00000235215.2	lncRNA
ENSG00000270457.1	lncRNA
ENSG00000226883.1	lncRNA
ENSG00000238242.2	lncRNA
ENSG00000226476.7	lncRNA
ENSG00000231252.4	lncRNA
ENSG00000237928.6	lncRNA
ENSG00000284808.1	lncRNA
ENSG00000287224.1	lncRNA
ENSG00000271200.1	lncRNA
ENSG00000235545.1	lncRNA
ENSG00000234318.1	lncRNA
ENSG00000229537.7	lncRNA
ENSG00000286455.1	lncRNA
ENSG00000227485.1	lncRNA
ENSG00000229225.1	lncRNA
ENSG00000203605.3	lncRNA
ENSG00000228734.2	lncRNA
ENSG00000230798.6	lncRNA
ENSG00000286429.1	lncRNA
ENSG00000116652.6	lncRNA
ENSG00000223949.8	lncRNA
ENSG00000284928.1	lncRNA
ENSG00000272506.1	lncRNA
ENSG00000288804.1	lncRNA
ENSG00000229294.1	lncRNA
ENSG00000237852.1	lncRNA
ENSG00000285079.1	lncRNA
ENSG00000227466.1	lncRNA
ENSG00000248458.2	lncRNA
ENSG00000231080.1	lncRNA
ENSG00000289394.1	lncRNA
ENSG00000275678.1	lncRNA
ENSG00000235200.4	lncRNA
ENSG00000232284.8	lncRNA
ENSG00000233589.1	lncRNA
ENSG00000234264.1	lncRNA
ENSG00000285041.1	lncRNA
ENSG00000285407.1	lncRNA
ENSG00000285473.1	lncRNA
ENSG00000223883.2	lncRNA
ENSG00000235446.2	lncRNA
ENSG00000229639.1	lncRNA
ENSG00000287453.1	lncRNA
ENSG00000287283.1	lncRNA
ENSG00000237919.5	lncRNA
ENSG00000228988.1	lncRNA
ENSG00000197568.15	lncRNA
ENSG00000226088.1	lncRNA
ENSG00000271992.1	lncRNA
ENSG00000229051.2	lncRNA
ENSG00000226208.1	lncRNA
ENSG00000235782.1	lncRNA
ENSG00000269933.1	lncRNA
ENSG00000235079.1	lncRNA
ENSG00000229956.11	lncRNA
ENSG00000231985.1	lncRNA
ENSG00000228853.1	lncRNA
ENSG00000286863.2	lncRNA
ENSG00000225087.2	lncRNA
ENSG00000227016.3	lncRNA
ENSG00000285808.1	lncRNA
ENSG00000233973.7	lncRNA
ENSG00000223479.3	lncRNA
ENSG00000285778.2	lncRNA
ENSG00000237324.3	lncRNA
ENSG00000233894.1	lncRNA
ENSG00000234497.5	lncRNA
ENSG00000272864.1	lncRNA
ENSG00000229943.1	lncRNA
ENSG00000261213.1	lncRNA
ENSG00000224127.1	lncRNA
ENSG00000224149.1	lncRNA
ENSG00000225605.3	lncRNA
ENSG00000230027.2	lncRNA
ENSG00000272855.1	lncRNA
ENSG00000237552.1	lncRNA
ENSG00000288543.1	lncRNA
ENSG00000230498.3	lncRNA
ENSG00000289212.1	lncRNA
ENSG00000287870.1	lncRNA
ENSG00000233099.1	lncRNA
ENSG00000287647.1	lncRNA
ENSG00000235927.4	lncRNA
ENSG00000273338.1	lncRNA
ENSG00000285928.1	lncRNA
ENSG00000237413.5	lncRNA
ENSG00000282898.1	lncRNA
ENSG00000235011.2	lncRNA
ENSG00000285462.1	lncRNA
ENSG00000288822.1	lncRNA
ENSG00000285409.1	lncRNA
ENSG00000260322.1	lncRNA
ENSG00000225598.1	lncRNA
ENSG00000224326.1	lncRNA
ENSG00000234184.7	lncRNA
ENSG00000285179.1	lncRNA
ENSG00000227960.1	lncRNA
ENSG00000234953.2	lncRNA
ENSG00000236676.1	lncRNA
ENSG00000233290.3	lncRNA
ENSG00000230817.6	lncRNA
ENSG00000236268.6	lncRNA
ENSG00000285782.2	lncRNA
ENSG00000231364.3	lncRNA
ENSG00000233008.7	lncRNA
ENSG00000237076.1	lncRNA
ENSG00000233061.1	lncRNA
ENSG00000285201.1	lncRNA
ENSG00000271576.1	lncRNA
ENSG00000285361.1	lncRNA
ENSG00000285851.1	lncRNA
ENSG00000284882.1	lncRNA
ENSG00000285374.1	lncRNA
ENSG00000180869.4	lncRNA
ENSG00000285325.1	lncRNA
ENSG00000223653.6	lncRNA
ENSG00000273264.1	lncRNA
ENSG00000282057.1	lncRNA
ENSG00000272691.1	lncRNA
ENSG00000230285.1	lncRNA
ENSG00000285210.1	lncRNA
ENSG00000236915.2	lncRNA
ENSG00000261737.1	lncRNA
ENSG00000284846.1	lncRNA
ENSG00000267734.1	lncRNA
ENSG00000267272.5	lncRNA
ENSG00000284240.1	lncRNA
ENSG00000227290.2	lncRNA
ENSG00000237505.8	lncRNA
ENSG00000286758.1	lncRNA
ENSG00000289582.1	lncRNA
ENSG00000286802.1	lncRNA
ENSG00000284734.1	lncRNA
ENSG00000237568.1	lncRNA
ENSG00000286548.1	lncRNA
ENSG00000231999.8	lncRNA
ENSG00000230735.1	lncRNA
ENSG00000231613.1	lncRNA
ENSG00000272931.1	lncRNA
ENSG00000272672.1	lncRNA
ENSG00000287015.1	lncRNA
ENSG00000287406.1	lncRNA
ENSG00000287372.1	lncRNA
ENSG00000229201.1	lncRNA
ENSG00000287076.1	lncRNA
ENSG00000285532.2	lncRNA
ENSG00000225446.3	lncRNA
ENSG00000272094.1	lncRNA
ENSG00000289483.1	lncRNA
ENSG00000273487.1	lncRNA
ENSG00000289544.1	lncRNA
ENSG00000287797.1	lncRNA
ENSG00000223745.8	lncRNA
ENSG00000224093.6	lncRNA
ENSG00000260464.1	lncRNA
ENSG00000233482.1	lncRNA
ENSG00000226835.4	lncRNA
ENSG00000236098.1	lncRNA
ENSG00000286692.1	lncRNA
ENSG00000288736.1	lncRNA
ENSG00000223675.1	lncRNA
ENSG00000235501.7	lncRNA
ENSG00000230427.1	lncRNA
ENSG00000231992.1	lncRNA
ENSG00000226026.7	lncRNA
ENSG00000228852.6	lncRNA
ENSG00000287919.1	lncRNA
ENSG00000228504.1	lncRNA
ENSG00000230434.3	lncRNA
ENSG00000237954.7	lncRNA
ENSG00000233907.1	lncRNA
ENSG00000228971.3	lncRNA
ENSG00000271252.1	lncRNA
ENSG00000237435.10	lncRNA
ENSG00000231987.1	lncRNA
ENSG00000232878.3	lncRNA
ENSG00000232542.1	lncRNA
ENSG00000235777.1	lncRNA
ENSG00000225206.11	lncRNA
ENSG00000259946.1	lncRNA
ENSG00000288810.1	lncRNA
ENSG00000285922.1	lncRNA
ENSG00000226053.1	lncRNA
ENSG00000232825.3	lncRNA
ENSG00000224445.3	lncRNA
ENSG00000228084.2	lncRNA
ENSG00000288826.1	lncRNA
ENSG00000241073.1	lncRNA
ENSG00000285530.1	lncRNA
ENSG00000224616.4	lncRNA
ENSG00000223906.1	lncRNA
ENSG00000228086.1	lncRNA
ENSG00000230402.2	lncRNA
ENSG00000285525.1	lncRNA
ENSG00000273204.1	lncRNA
ENSG00000235795.1	lncRNA
ENSG00000289355.1	lncRNA
ENSG00000225938.2	lncRNA
ENSG00000231671.1	lncRNA
ENSG00000226715.4	lncRNA
ENSG00000289192.1	lncRNA
ENSG00000233359.2	lncRNA
ENSG00000230864.1	lncRNA
ENSG00000230759.1	lncRNA
ENSG00000224613.7	lncRNA
ENSG00000285981.1	lncRNA
ENSG00000230768.9	lncRNA
ENSG00000233047.7	lncRNA
ENSG00000237480.3	lncRNA
ENSG00000237460.3	lncRNA
ENSG00000289612.1	lncRNA
ENSG00000230489.1	lncRNA
ENSG00000226822.4	lncRNA
ENSG00000260879.1	lncRNA
ENSG00000238122.1	lncRNA
ENSG00000224698.1	lncRNA
ENSG00000285923.1	lncRNA
ENSG00000232971.2	lncRNA
ENSG00000203897.4	lncRNA
ENSG00000273382.1	lncRNA
ENSG00000270066.3	lncRNA
ENSG00000254942.1	lncRNA
ENSG00000225113.1	lncRNA
ENSG00000228703.1	lncRNA
ENSG00000260246.1	lncRNA
ENSG00000241720.2	lncRNA
ENSG00000228420.1	lncRNA
ENSG00000235005.1	lncRNA
ENSG00000261055.1	lncRNA
ENSG00000258634.3	lncRNA
ENSG00000258673.1	lncRNA
ENSG00000227091.2	lncRNA
ENSG00000235526.1	lncRNA
ENSG00000224965.1	lncRNA
ENSG00000227963.2	lncRNA
ENSG00000273373.1	lncRNA
ENSG00000270380.1	lncRNA
ENSG00000282887.2	lncRNA
ENSG00000283999.1	lncRNA
ENSG00000235407.1	lncRNA
ENSG00000259834.1	lncRNA
ENSG00000288847.1	lncRNA
ENSG00000288803.1	lncRNA
ENSG00000261654.1	lncRNA
ENSG00000232811.1	lncRNA
ENSG00000273010.1	lncRNA
ENSG00000272982.1	lncRNA
ENSG00000273221.1	lncRNA
ENSG00000229283.1	lncRNA
ENSG00000260948.1	lncRNA
ENSG00000243960.1	lncRNA
ENSG00000231346.5	lncRNA
ENSG00000227811.3	lncRNA
ENSG00000284830.1	lncRNA
ENSG00000232558.1	lncRNA
ENSG00000237556.1	lncRNA
ENSG00000231437.3	lncRNA
ENSG00000231246.3	lncRNA
ENSG00000273483.1	lncRNA
ENSG00000225075.1	lncRNA
ENSG00000261595.1	lncRNA
ENSG00000215866.9	lncRNA
ENSG00000224167.3	lncRNA
ENSG00000226419.8	lncRNA
ENSG00000287807.1	lncRNA
ENSG00000238198.2	lncRNA
ENSG00000231128.6	lncRNA
ENSG00000226167.1	lncRNA
ENSG00000282048.1	lncRNA
ENSG00000232895.2	lncRNA
ENSG00000233730.2	lncRNA
ENSG00000285698.1	lncRNA
ENSG00000228035.1	lncRNA
ENSG00000287103.1	lncRNA
ENSG00000228127.3	lncRNA
ENSG00000237993.1	lncRNA
ENSG00000235933.2	lncRNA
ENSG00000287217.1	lncRNA
ENSG00000203865.12	lncRNA
ENSG00000233154.6	lncRNA
ENSG00000230381.2	lncRNA
ENSG00000224950.2	lncRNA
ENSG00000286276.1	lncRNA
ENSG00000203864.3	lncRNA
ENSG00000272715.1	lncRNA
ENSG00000236137.1	lncRNA
ENSG00000235202.2	lncRNA
ENSG00000271427.1	lncRNA
ENSG00000236866.5	lncRNA
ENSG00000287980.1	lncRNA
ENSG00000226172.2	lncRNA
ENSG00000239216.1	lncRNA
ENSG00000224238.2	lncRNA
ENSG00000231365.7	lncRNA
ENSG00000227712.2	lncRNA
ENSG00000232650.6	lncRNA
ENSG00000230921.1	lncRNA
ENSG00000260941.1	lncRNA
ENSG00000273406.1	lncRNA
ENSG00000287979.1	lncRNA
ENSG00000226067.7	lncRNA
ENSG00000234998.1	lncRNA
ENSG00000233029.3	lncRNA
ENSG00000227193.2	lncRNA
ENSG00000230806.1	lncRNA
ENSG00000227082.3	lncRNA
ENSG00000228826.3	lncRNA
ENSG00000272583.1	lncRNA
ENSG00000224857.1	lncRNA
ENSG00000235887.2	lncRNA
ENSG00000232721.3	lncRNA
ENSG00000263590.2	lncRNA
ENSG00000230186.3	lncRNA
ENSG00000289318.1	lncRNA
ENSG00000232527.8	lncRNA
ENSG00000237343.1	lncRNA
ENSG00000277199.1	lncRNA
ENSG00000224363.2	lncRNA
ENSG00000288905.1	lncRNA
ENSG00000276216.1	lncRNA
ENSG00000236140.1	lncRNA
ENSG00000287374.1	lncRNA
ENSG00000244619.2	lncRNA
ENSG00000234222.6	lncRNA
ENSG00000278431.1	lncRNA
ENSG00000287190.1	lncRNA
ENSG00000233396.9	lncRNA
ENSG00000276509.1	lncRNA
ENSG00000287978.1	lncRNA
ENSG00000289321.1	lncRNA
ENSG00000234225.2	lncRNA
ENSG00000237188.5	lncRNA
ENSG00000278811.4	lncRNA
ENSG00000289419.1	lncRNA
ENSG00000227139.1	lncRNA
ENSG00000274415.1	lncRNA
ENSG00000234190.1	lncRNA
ENSG00000273059.1	lncRNA
ENSG00000274372.5	lncRNA
ENSG00000232265.8	lncRNA
ENSG00000227733.11	lncRNA
ENSG00000234283.1	lncRNA
ENSG00000238107.1	lncRNA
ENSG00000224481.4	lncRNA
ENSG00000272824.1	lncRNA
ENSG00000254913.1	lncRNA
